suhu_mesin,arus_R,arus_S,arus_T,tegangan_RS,tegangan_ST,tegangan_TR,suhu_lingkungan,kelembaban,kode_mpu6050,label_kondisi,label_maintenance_hari
27.02,2.699,3.476,2.931,380.05,380.03,377.31,27.92,66.62,0,0,176
66.79,11.298,11.455,11.164,403.15,342.55,395.12,27.7,53.42,4,4,4
38.11,6.155,6.293,5.917,382.23,377.37,380.16,26.1,57.95,1,1,97
34.98,5.864,6.998,5.441,380.96,375.53,395.46,26.54,64.02,1,1,72
28.44,4.604,4.485,3.878,378.45,379.19,378.77,29.17,79.08,0,0,157
27.38,3.362,3.521,3.717,379.52,377.52,382.92,27.82,77.92,0,0,148
29.15,4.923,4.927,2.196,381.02,380.97,382.14,30.96,57.65,0,0,120
49.3,8.536,8.504,8.177,378.36,378.83,381.41,27.34,51.65,2,2,39
31.82,6.857,6.282,5.623,367.51,376.26,380.22,29.04,72.49,1,1,65
36.59,6.399,5.614,5.114,386.44,373.95,382.15,27.28,63.47,1,1,72
26.8,4.012,4.464,2.734,379.85,382.35,379.45,27.27,70.15,0,0,130
59.9,11.334,11.254,11.631,441.61,388.17,391.51,30.24,52.74,4,4,1
46.92,7.373,7.376,7.368,394.97,381.24,373.74,28.07,53.28,2,2,37
26.4,2.609,4.995,3.624,379.88,380.98,381.41,27.5,72.25,0,0,127
26.41,3.057,2.378,2.39,381.26,381.7,380.84,28.02,60.3,0,0,120
26.77,2.986,3.807,2.967,382.13,381.11,379.93,30.06,58.58,0,0,143
25.91,4.874,2.1,3.739,382.11,381.04,378.36,28.55,51.44,0,0,130
26.08,3.451,2.044,4.763,381.33,378.47,380.9,27.72,70.5,0,0,134
30.2,2.928,3.344,3.216,381.08,378.08,377.29,27.84,57.77,0,0,142
29.88,4.636,2.59,4.842,380.98,377.47,380.49,26.5,78.37,0,0,172
31.44,5.377,5.607,5.186,385.29,386.79,378.23,28.35,55.92,1,1,110
26.65,2.293,2.501,4.771,379.02,382.15,380.99,30.08,56.55,0,0,140
28.63,2.422,3.274,3.025,374.45,383.89,379.31,26.91,73.96,0,0,177
29.19,2.321,4.342,4.731,383.05,377.27,376.56,26.07,67.2,0,0,154
27.83,4.821,4.859,2.718,378.18,379.04,384.59,28.41,69.0,0,0,137
44.08,8.442,7.514,8.439,379.21,377.0,369.94,28.36,76.94,2,2,41
27.75,2.139,3.739,4.738,380.38,383.46,378.33,28.01,73.85,0,0,171
29.29,2.407,4.932,4.893,378.99,378.3,379.43,27.5,56.11,0,0,122
33.77,5.799,5.838,6.029,378.8,382.68,381.38,27.43,52.1,1,1,94
29.25,2.17,2.361,3.742,379.99,381.57,379.62,29.19,68.33,0,0,163
35.0,5.256,6.164,5.6,388.26,380.49,378.31,29.37,67.86,1,1,83
